WARNING: 2 open meshes merged
     Merged: Wing
     Merged: Tail
...Mass Properties...
6 Num Comps
6 Total Num Meshes
6480 Total Num Tris

1.366365956594494e+03             Total Mass
2.760880546962521e+00 6.163749643624058e-09 1.126079128356410e-01       Center of Gravity
2.721209556432786e+03 6.952033813841216e+03 9.241125536358095e+03       Ixx, Iyy, Izz
-1.155684021548679e+00 6.073770336047382e+02 2.080954615909929e+00       Ixy, Ixz, Iyz
7.613700040834105e+00             Volume

Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
Fuselage	2.166992717394664e+02	2.513982746088855e+00	3.886463274951287e-08	7.469684789546363e-03	6.744242584999843e+01	5.022584919524847e+02	5.106259595729998e+02	-7.586176283940099e-02	5.608011441477054e+00	6.179765185592054e-01	4.333985434789342e+00
Wing	1.982746203231084e+02	2.441268831662946e+00	-1.623832019532412e-16	7.098440048120051e-02	2.020413813908176e+03	2.561569262615917e+01	2.039580658114221e+03	-2.029259250397930e-02	1.372402736598334e-01	3.239614289290690e-01	9.913731016155480e-01
Load	5.351281051443002e+02	1.605385920818818e+00	6.224059326836023e-18	1.885371304420745e-17	1.420810915001278e+02	1.524584439866393e+02	2.410331849089127e+02	-1.153104609081147e+00	-1.586775136495778e-01	1.209882350045084e+00	1.806059160921168e+00
Engine	1.605385920818820e+02	6.020197203070573e-01	4.590239163297818e-17	1.037342183796117e-18	8.605583760225651e+00	8.976739243447037e+00	1.040359260847344e+01	9.357702223372887e-02	9.075242869364305e-03	-7.086479615586132e-02	1.003366200511763e-01
Tail	1.548561932505364e+02	6.959900988774851e+00	5.462896665956970e-16	1.387050881492173e-01	3.296268576651635e+02	1.155444346559807e+01	3.409524560393057e+02	-8.007212514565820e-15	-1.241757115088452e-01	-2.518495767565420e-16	1.853425749008294e-01
Vertical	1.008691740552009e+02	7.039167502237164e+00	6.079395760200595e-17	1.156856863270846e+00	3.138058515819351e+01	5.666995048367717e+01	2.568883162187381e+01	-1.666223756096229e-16	1.737293319271476e+01	1.254658103409115e-15	1.966031485560487e-01
Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
Totals	1.366365956594494e+03	2.760880546962521e+00	6.163749643624058e-09	1.126079128356410e-01	2.721209556432786e+03	6.952033813841216e+03	9.241125536358095e+03	-1.155684021548679e+00	6.073770336047382e+02	2.080954615909929e+00	7.613700040834105e+00

...Filling Mass Properties (Volume Only -- No Shell or Point Mass)...
20 Num Slice

Slice	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
2.006732401023525e-01	4.168705862888471e+00	2.006732401023525e-01	4.681462244308312e-18	-9.987119454524399e-18	1.845976399919709e-01	2.171515494914693e-01	2.472339904596905e-01	-3.890080073427846e-04	5.264645324881069e-04	2.252974479250941e-03	8.337411725776939e-02
6.020197203070574e-01	1.841119893913619e+02	5.929323413122951e-01	1.030543316663902e-18	-1.651018725579857e-17	1.394089108201910e+01	1.240809347236835e+01	1.520227751610747e+01	9.011333030138288e-02	9.937449916882828e-03	1.940399238750789e-03	5.718045662407737e-01
1.003366200511762e+00	3.369507435322831e+02	7.791025780646793e-01	6.487959919772078e-17	-5.972641244459551e-18	5.907962611602402e+01	4.291554073001384e+01	6.822773278691686e+01	-3.109013946739974e-01	-5.577884494477255e-02	4.745824755463250e-01	1.404453913567993e+00
1.404712680716467e+00	4.971370103237790e+02	9.806851292120307e-01	5.092868274056013e-17	-1.103398498435114e-17	1.099528477801891e+02	1.041226676625119e+02	1.536320474550318e+02	-7.164992259182492e-01	-1.102062648667804e-01	9.181904977754130e-01	2.384053513906709e+00
1.806059160921172e+00	6.604677262591412e+02	1.184796437234697e+00	-3.965201527660653e-17	-6.501885003837111e-04	1.651452721835979e+02	2.061653555305004e+02	2.852474569001321e+02	-8.868594255536607e-01	-4.098241027035264e-01	1.171883098378729e+00	3.359088475358635e+00
2.207405641125877e+00	9.049683183167671e+02	1.461080756513434e+00	2.479191430753939e-16	7.494344352480788e-03	1.182475349611164e+03	4.133318468202082e+02	1.485026071718644e+03	-1.076989989674078e+00	5.031422296807118e+00	1.600079717478098e+00	4.615064533678776e+00
2.608752121330582e+00	1.011077337095755e+03	1.581524839209707e+00	2.223263969650489e-16	1.295415675675601e-02	2.034379638558985e+03	5.462079637646013e+02	2.461363831133961e+03	-1.143435044351181e+00	1.066465427401673e+01	1.815297247739655e+00	5.544196178204355e+00
3.010098601535287e+00	1.049843887047331e+03	1.634276373794971e+00	2.443616265988974e-16	1.340618850851961e-02	2.233381950027841e+03	6.254667891675040e+02	2.736097663318629e+03	-1.167509955415436e+00	1.131391082278768e+01	1.934296287247236e+00	6.015820272548711e+00
3.411445081739992e+00	1.065096202247981e+03	1.659725659259609e+00	2.417783537301579e-16	1.321421015732493e-02	2.235755197899141e+03	6.744374328850216e+02	2.785487939314505e+03	-1.166482935337997e+00	1.095570103461309e+01	2.020597733037414e+00	6.320866576561721e+00
3.812791561944697e+00	1.076560593780301e+03	1.682653853590588e+00	2.408705829265913e-16	1.307349083329509e-02	2.237131701184698e+03	7.279534336115647e+02	2.839276782645361e+03	-1.167316237385484e+00	1.063409162477733e+01	2.061323675299802e+00	6.550154407208110e+00
